"","Latitude_N","Longitude_E","Depth","Temperature","Nitrate","Nitrite","Phosphate","Oxygen","Chlorophyll_a"
"11_SUR",41.6686,2.7996,5,26.050367,3.886605,0.02,0.08,190.724,0
"18_DCM",35.7528,14.2765,60,18.36839,-0.166794,0.025,0.013,237.8893,0.132494
"18_SUR",35.759,14.2574,5,21.4395,5.111856,0.018,0.026,207.791417,0.048898
"22_SUR",39.8386,17.4155,5,17.041483,0.254406,0.07,0.02,220.927083,0.180911
"23_DCM",42.1735,17.7252,55,15.705783,1.411516,0.01,0.01,224.266917,0.236208
"25_DCM",39.3991,19.3997,50,15.161277,0.405607,0.07,0.07,229.547682,0.201016
"25_SUR",39.3888,19.3905,5,18.342533,2.450991,0,0.01,218.016833,0.121845
"30_DCM",33.9235,32.8118,70,18.979535,0.254406,0.01,0,218.132538,0.141478
"31_SUR",27.16,34.835,5,25.0621,-0.137284,0.014,0.024,188.763583,0.048898
"32_DCM",23.4183,37.245,80,26.050367,1.201064,0.01,0.025,179.968,0.224444
"32_SUR",23.36,37.2183,5,25.824383,-0.541919,0.014,0.018,188.416583,0
"33_SUR",21.9467,38.2517,5,27.329517,-0.000271,0,0.053,182.812167,0.163228
"34_DCM",18.4417,39.8567,60,27.589917,0.08645,0.27,0.09,175.384083,0.181406
"34_SUR",18.3967,39.875,5,27.59865,-0.927087,0.02,0.19,184.061167,0.186697
"36_DCM",20.8222,63.5133,17,25.37395,0.367767,0.51,0.51,211.606583,0.353707
"36_SUR",20.8183,63.5047,5,25.581433,3.886605,0.05,0.37,104.908417,0.129697
"37_OMZ",20.8457,63.5851,600,12.066048,31.802451,0.07,2.91,1.63999,0.005649
"38_DCM",19.0284,64.5126,25,25.494408,1.230122,0.7,0.42,154.699917,0.604752
"38_OMZ",19.0351,64.5638,340,14.987618,22.444602,0.69,2.64,2.369225,0.014107
"38_SUR",19.0393,64.4913,5,26.2314,0.889376,0.01,0.32,199.9355,0.161808
"39_DCM",18.5839,66.4727,25,26.812225,-0.611888,0.02,0.26,192.95875,0.17638
"39_OMZ",18.7341,66.3896,270,15.614195,19.566542,2.07,2.64,2.303017,0.006724
"39_SUR",18.5918,66.622,5,26.81765,-1.415582,0.01,0.23,193.3535,0.099089
"41_DCM",14.5536,70.0128,60,27.117663,-0.224514,0.07,0.34,148.328125,0.47554
"41_SUR",14.6059,69.9776,5,29.089367,-1.343153,0,0.14,187.42925,0.020173
"42_DCM",5.9998,73.9067,80,27.723425,0.569531,0.15,0.34,132.77885,0.388348
"42_SUR",6.0001,73.8955,5,29.980283,-1.47882,0,0.08,189.25475,0.006724
"45_SUR",0.0033,71.6428,5,30.496383,2.575786,0.02,1.94,185.243833,0.026898
"46_SUR",-0.6625,73.161,5,30.12565,0.477267,0,0.1,185.733167,0.121909
"48_SUR",-9.3921,66.4228,5,29.818233,-2.201764,0.01,0.08,187.2575,0
"52_DCM",-16.9534,53.9601,75,24.89426,0.244232,0.03,0.18,192.55925,0.394226
"52_SUR",-16.957,53.9801,5,27.8684,-1.47882,0,0.12,191.68,0.176565
"56_MES",-15.3379,43.2948,1000,6.23622,38.821249,0.018,2.73,88.1626,0
"56_SUR",-15.3424,43.2965,5,27.323117,-0.541919,0.51,0.1,193.05775,0.04282
"58_DCM",-17.2855,42.2866,66,25.308318,0.820273,0.03,0,185.01,0.332199
"62_SUR",-22.3368,40.3412,5,25.080167,-0.166794,0.06,0.5,199.895917,0.089746
"64_DCM",-29.5333,37.9117,65,22.250309,-0.112031,0,0.08,207.446227,0.214573
"64_MES",-29.5046,37.9599,1000,7.6502,25.846888,0,1.12,193.011,0
"64_SUR",-29.5019,37.9889,5,22.165567,-0.224514,0,0.08,210.00775,0.162993
"65_DCM",-35.2421,26.3048,30,21.81495,1.230122,0.15,0.63,206.43725,0.272648
"65_SUR",-35.1728,26.2868,5,21.81684,-0.385346,0.05,0.53,207.0439,0.215292
"66_DCM",-34.8901,18.0459,30,15.01895,0.254406,0.26,0.37,240.4135,0.424363
"66_SUR",-34.9449,17.9189,5,15.033492,2.450991,0.3,0.34,238.916333,0.250054
"67_SUR",-32.2401,17.7103,5,12.83445,0.405607,0.171,1.016,249.351417,1.551493
"68_DCM",-31.027,4.6802,50,16.787411,3.241307,0.285,0.227,231.683361,0.42458
"68_MES",-31.0198,4.6685,700,7.026748,25.846888,0.003,1.529,195.168847,0.011208
"68_SUR",-31.0266,4.665,5,16.832058,3.986359,0.25,0.229,231.914833,0.201517
"70_MES",-20.4075,-3.1641,800,4.216697,37.7793,0.01,2.522,161.730633,0.003811
"70_SUR",-20.4091,-3.1759,5,19.776808,0.168013,0.054,0.364,215.650833,0.324315
"72_DCM",-8.7296,-17.9604,100,24.112672,0.241265,0.011,0.143,194.428431,0.263939
"72_MES",-8.7986,-17.9034,800,4.673875,38.448475,0.007,2.618,143.1955,0
"72_SUR",-8.7789,-17.9099,5,25.02619,0.263475,0.003,0.104,199.1195,0.050608
"76_DCM",-21.0292,-35.3498,150,21.643283,0.580918,0.015,0.038,203.814833,0.150865
"76_MES",-20.9315,-35.1794,800,4.749588,34.589515,0.001,0.937,192.1655,0
"76_SUR",-20.9354,-35.1803,5,23.349542,0.030608,0.001,0.056,206.194333,0.033622
"78_DCM",-30.1484,-43.2705,120,19.30925,0.478929,0.053,0,217.140667,0.226052
"78_MES",-30.1471,-43.2915,800,5.8659,29.783185,0,1.946,214.842,0
"78_SUR",-30.1367,-43.2899,5,19.854083,-0.385346,0,0,221.47475,0.053173
"82_DCM",-47.2007,-57.9446,40,6.975635,17.111823,0.135,1.416,306.211529,1.01772
"82_SUR",-47.1863,-58.2902,5,7.321517,17.091069,0.151,1.301,305.012167,0.310844
"84_SUR",-60.2287,-60.6476,5,1.84402,24.423039,0.266,1.723,338.2982,0.109555
"85_DCM",-62.2231,-49.2139,90,-0.78154,33.109231,0.06,2.309,325.402987,0.540091
"85_MES",-61.9689,-49.5017,790,0.45883,38.821249,0.018,2.614,203.8394,0.010087
"85_SUR",-62.0385,-49.529,5,0.67108,27.501159,0.107,2.111,343.4373,0.065273
"100_DCM",-12.9723,-96.0122,50,20.649431,1.501977,0.16,0.78,216.790338,0.366887
"100_dDCM",-12.9794,-96.0232,177,13.014573,21.068385,0.03,2.68,0.70843,0.121464
"100_SUR",-13.0023,-95.9759,5,25.2512,4.590737,0.14,0.68,200.233917,0.287892
"102_DCM",-5.2669,-85.2732,40,19.566255,20.328327,1.2,1.86,103.916711,0.728939
"102_MES",-5.261,-85.1678,480,9.195825,40.008967,0.01,2.85,4.42525,0.010087
"102_SUR",-5.2529,-85.1545,5,24.943108,11.688971,0.32,1,205.992583,0.238224
"109_DCM",2.0299,-84.5546,30,26.532035,3.886605,0.11,0.5,203.127654,0.737378
"109_SUR",1.9928,-84.5766,5,27.617558,1.210114,0.04,0.27,198.635833,0.28167
"111_DCM",-16.9587,-100.6751,90,19.881449,1.411516,0.2,0.44,211.54555,0.378549
"111_MES",-16.9486,-100.6715,350,10.893125,30.409013,0.01,2.73,3.171063,0
"111_SUR",-16.9601,-100.6335,5,22.76873,2.568726,0.04,0.5,208.8654,0.203347
"122_DCM",-9.0063,-139.1394,115,24.69625,2.333576,0.1,0.59,179.916875,0.295808
"122_MES",-8.9729,-139.2393,600,7.212238,42.53205,0.02,2.43,38.115125,0
"122_SUR",-8.9971,-139.1963,5,26.54413,3.986359,0.12,0.57,186.2407,0.166512
"123_MIX",-8.9109,-140.2845,150,8.911481,22.444602,0.007,1.301,191.68,0
"123_SUR",-8.9068,-140.283,5,26.576175,3.868407,0.14,0.53,189.758333,0.319103
"124_MIX",-9.0714,-140.5973,120,8.210557,40.008967,0.01,2.85,143.1955,0.010087
"124_SUR",-9.1504,-140.5216,5,26.518986,5.111856,0.16,0.63,190.724,0.286662
"125_MIX",-8.8999,-142.5461,140,10.893125,27.501159,0.69,2.614,38.115125,0
"125_SUR",-8.9111,-142.5571,5,26.780158,4.985942,0.19,0.56,187.302833,0.233673
"137_DCM",14.2075,-116.6468,40,18.594842,11.003135,0.31,0.88,95.411833,0.62525
"137_MES",14.2025,-116.6433,375,8.911481,35.716708,0.01,2.95,0.628413,0.001625
"137_SUR",14.2035,-116.6261,5,26.4091,3.241307,0.07,0.46,195.126917,0.290611
"138_DCM",6.3378,-102.9538,60,19.048358,22.087762,0.83,1.11,77.038525,0.334076
"138_MES",6.3559,-103.0598,450,8.210557,36.886053,0.01,3.16,0.78015,0.002017
"138_SUR",6.3332,-102.9432,5,26.6362,-1.184318,0,0.16,196.88275,0.013449
